Exclude Tag,Previous Role ,Top Universities 
Crypto,VP Engineering,MIT
Ethereum,Head of Engineering,Oxford
Web3,Head Engineering,Imperial
Bitcoin ,CTO ,UCL
Creator,Head of AI ,Cambridge
Smart contract,Founding CTO ,ETH
chain ,VP of Engineering,EPFL
decentralised ,,Stanford
B2C,,Carnegie Mellon
NFT,,Columbia
Fintech ,,Max Planck
Payment ,,ƒcole Normale
wallet ,,Delft University
publisher,,KTH
publishing,,Technical University of Munich
metaverse,,Polytechnic University of Milan
gaming,,KU Leuven
game,,University College London
Tiktok,,University of Edinburgh
Instagram,,KIT
gamified,,
agence,,
agency,,
Salesperson,,
sales,,
finances,,
camping,,
influencer,,
fitness,,
frontend,,
therapy,,
therapist,,
well-being,,
social,,
legal,,
pet,,
arts,,
SRE,,
Treasury,,
loan,,
cashback,,
bancaire,,
romance,,
linkedin,,
teachers,,
scholarships,,
ahorro,,
coffee,,